datetime_utc,crypto,known,unknown
2023-07-04 00:00:06.176620,BTC,"$20,000,000","$100,000,000"
2023-07-04 00:00:06.176620,ETH,"$20,000,000","$100,000,000"
2023-07-04 00:00:06.176620,Stable Coin (Transfer),"$50,000,000","$200,000,000"
2023-07-04 00:00:06.176620,Stable Coin (Mint/Burn),"$50,000,000",-
2023-07-04 00:00:06.176620,SOL,"$20,000,000","$100,000,000"
2023-07-04 00:00:06.176620,XRP,"$10,000,000","$50,000,000"
2023-07-04 00:00:06.176620,EOS,"$5,000,000","$10,000,000"
2023-07-04 00:00:06.176620,XLM,"$5,000,000","$10,000,000"
2023-07-04 00:00:06.176620,ERC20,"$5,000,000","$20,00,000"
2023-07-04 00:00:06.176620,NEO,"$1,000,000","$5,000,000"
2023-07-04 00:00:06.176620,TRX,"$5,000,000","$20,000,000"
2023-07-04 00:00:06.176620,XTZ,"$2,500,000","$10,000,000"
2023-07-04 00:00:06.176620,ICX,"$1,000,000","$5,000,000"
2023-07-04 00:00:06.176620,Scams,"$25,000",-
2023-07-04 00:00:06.176620,Donations,"$1,000,000",-
