datetime_utc,crypto,known,unknown
2023-07-03 23:34:33.654607,BTC,"$20,000,000","$100,000,000"
2023-07-03 23:34:33.654607,ETH,"$20,000,000","$100,000,000"
2023-07-03 23:34:33.654607,Stable Coin (Transfer),"$50,000,000","$200,000,000"
2023-07-03 23:34:33.654607,Stable Coin (Mint/Burn),"$50,000,000",-
2023-07-03 23:34:33.654607,SOL,"$20,000,000","$100,000,000"
2023-07-03 23:34:33.654607,XRP,"$10,000,000","$50,000,000"
2023-07-03 23:34:33.654607,EOS,"$5,000,000","$10,000,000"
2023-07-03 23:34:33.654607,XLM,"$5,000,000","$10,000,000"
2023-07-03 23:34:33.654607,ERC20,"$5,000,000","$20,00,000"
2023-07-03 23:34:33.654607,NEO,"$1,000,000","$5,000,000"
2023-07-03 23:34:33.654607,TRX,"$5,000,000","$20,000,000"
2023-07-03 23:34:33.654607,XTZ,"$2,500,000","$10,000,000"
2023-07-03 23:34:33.654607,ICX,"$1,000,000","$5,000,000"
2023-07-03 23:34:33.654607,Scams,"$25,000",-
2023-07-03 23:34:33.654607,Donations,"$1,000,000",-
