datetime_utc,crypto,known,unknown
2023-06-21 01:17:56.014967,BTC,"$20,000,000","$100,000,000"
2023-06-21 01:17:56.014967,ETH,"$20,000,000","$100,000,000"
2023-06-21 01:17:56.014967,Stable Coin (Transfer),"$50,000,000","$200,000,000"
2023-06-21 01:17:56.014967,Stable Coin (Mint/Burn),"$50,000,000",-
2023-06-21 01:17:56.014967,SOL,"$20,000,000","$100,000,000"
2023-06-21 01:17:56.014967,XRP,"$10,000,000","$50,000,000"
2023-06-21 01:17:56.014967,EOS,"$5,000,000","$10,000,000"
2023-06-21 01:17:56.014967,XLM,"$5,000,000","$10,000,000"
2023-06-21 01:17:56.014967,ERC20,"$5,000,000","$20,00,000"
2023-06-21 01:17:56.014967,NEO,"$1,000,000","$5,000,000"
2023-06-21 01:17:56.014967,TRX,"$5,000,000","$20,000,000"
2023-06-21 01:17:56.014967,XTZ,"$2,500,000","$10,000,000"
2023-06-21 01:17:56.014967,ICX,"$1,000,000","$5,000,000"
2023-06-21 01:17:56.014967,Scams,"$25,000",-
2023-06-21 01:17:56.014967,Donations,"$1,000,000",-
